"geoid","pop","jobs","lat","lon"
"480850305113","1421","16","33.143596","-96.775875"
"481130143103","1866","4","32.862115","-96.984008"
"481130200001","3786","7097","32.984581","-97.005786"
"481210205072","1231","10","33.2511","-97.12657"
"481130143091","1030","717","32.862875","-96.99014"
"484391104013","1072","1768","32.819179","-97.435232"
"484391041002","1218","563","32.723531","-97.341202"
"484391132212","1865","1204","32.849181","-97.204404"
"481130181501","2498","119","32.928418","-96.530306"
"481130096102","1198","1674","32.900964","-96.88331"
"481210202082","1637","203","33.330562","-97.280549"
"481130171022","1652","47","32.671499","-96.66256"
"481210216412","746","17","32.994621","-96.848588"
"481210217541","1831","451","33.088552","-97.126878"
"481130137201","2436","676","32.977629","-96.884573"
"481130166162","2432","10","32.562013","-96.951678"
"484391131172","876","60","32.771676","-97.103679"
"481130141581","1729","5328","32.867418","-96.982792"
"481130136111","1587","2619","32.981868","-96.815586"
"481130094011","1042","14","32.864741","-96.852775"
"481210214113","1853","350","33.114837","-97.015646"
"484391135204","792","22","32.864676","-97.066922"
"483970401013","2160","843","32.936994","-96.46832"
"482570502102","1122","149","32.794176","-96.421143"
"484391057011","1210","136","32.666567","-97.360759"
"481130099002","2018","2243","32.901485","-96.922422"
"484391138152","1376","37","32.913604","-97.207149"
"480850318074","1637","4241","33.009671","-96.743586"
"484391139401","3918","225","32.952065","-97.299469"
"482511302151","2106","101","32.538972","-97.405798"
"482570511001","1822","587","32.580536","-96.305299"
"484391062021","1434","82","32.7051","-97.238816"
"484391131221","1357","70","32.796652","-97.060014"
"481130125011","2076","24","32.830334","-96.663038"
"481130131073","1332","20","32.89229","-96.772971"
"484391216084","1609","164","32.69837","-97.186039"
"481210216491","2223","244","33.011085","-96.940082"
"481130167061","1167","347","32.607861","-96.767296"
"482570502081","2072","61","32.76356","-96.464541"
"481130005021","1407","2085","32.803885","-96.808204"
"484391055021","1523","28","32.664456","-97.385748"
"484391139481","1896","29","32.905078","-97.269831"
"481130162032","1189","377","32.711511","-97.009174"
"484391216102","1446","24","32.687638","-97.196728"
"481130136204","893","16","32.965981","-96.816468"
"481130127021","1438","74","32.84077","-96.672222"
"480850316301","2505","114","33.075385","-96.731141"
"481130190131","2485","1217","32.915645","-96.672862"
"481130015041","1690","259","32.798339","-96.774309"
"481210217222","2104","53","33.046534","-97.052961"
"481130054002","2116","388","32.730098","-96.818387"
"484391135091","1283","85","32.848804","-97.086304"
"481130164151","2677","103","32.664324","-97.009204"
"481210201313","3347","151","33.201759","-96.985394"
"481130208002","1397","68","32.762005","-96.749519"
"481130182043","1433","154","32.898369","-96.628223"
"481130143162","1185","385","32.846615","-96.974299"
"481210217173","1572","139","33.053404","-97.040707"
"481130190184","1052","5","32.924484","-96.715856"
"484391045042","1938","172","32.689465","-97.309883"
"484391023012","1257","244","32.726817","-97.432391"
"484391023011","909","1997","32.731965","-97.431684"
"480850316283","646","187","33.052212","-96.73074"
"481130184031","1047","1920","32.861522","-96.646193"
"481210217192","3122","1387","33.083927","-97.087154"
"484391112041","2695","1678","32.56736","-97.296359"
"484391230013","1318","569","32.738511","-97.430483"
"484391061023","1511","32","32.672928","-97.247823"
"481130139011","1848","4","32.935208","-96.893511"
"484391115613","2253","143","32.644755","-97.082168"
"480850303012","0","365","33.220382","-96.68224"
"484391138161","2018","133","32.917841","-97.225883"
"484391139081","2028","1130","32.927157","-97.177997"
"481210215121","1683","194","33.110064","-97.098525"
"480850316541","1575","108","33.038217","-96.784016"
"481130164063","1999","69","32.7002","-97.011988"
"484391062012","1938","18","32.702855","-97.258097"
"484391112024","2244","1176","32.629288","-97.288301"
"480850303062","2599","76","33.268723","-96.792952"
