"station_id","name","mode","src","year_opens","term","act1k","fwy_m","feasibility","lat","lon"
"X447","Estelle W","metro","extra","2070","0","0","159","park-ride?","32.871596","-97.039514"
"X411","Metrocare hillside adult mental health clinic and primary care","metro","extra","2065","0","0","576","park-ride?","32.772777","-96.873934"
"X277","Forest Hill","metro","extra","2070","0","0","35","park-ride?","32.6931","-97.239049"
"X453","Shady Grove NE","metro","extra","2070","0","0","552","park-ride?","32.816127","-97.012316"
"X298","Vibra Specialty Hospital of Desoto","metro","extra","2070","0","0","498","park-ride?","32.671428","-96.868421"
"X446","Cypress Waters SW3","metro","extra","2070","0","0","122","park-ride?","32.89228","-97.039415"
"X445","Cypress Waters SW2","metro","extra","2070","0","0","48","park-ride?","32.897739","-97.0414"
"X444","Texas Health Surgical Specialists","metro","extra","2070","0","0","65","park-ride?","32.877069","-97.041625"
"X063","Roanoke SW","commuter","extra","2050","0","550","250","park-ride?","32.984351","-97.239123"
"X480","Ederville N","brt","extra","2065","0","1580","468","park-ride?","32.778605","-97.217085"
"X288","North Westchester Meadows W","metro","extra","2070","0","1916","85","park-ride?","32.676544","-97.031314"
"X553","Saginaw N","commuter","extra","2060","0","2001","500","park-ride?","32.920957","-97.361427"
"X257","Hi Line W","metro","extra","2055","0","2143","55","park-ride?","32.812534","-96.862623"
"X283","Parks Mall","metro","extra","2070","0","2168","300","park-ride?","32.678092","-97.133189"
"X290","North Westchester Meadows E","metro","extra","2070","0","2178","32","park-ride?","32.672117","-96.984393"
"X572","Wheatley Place Historic District SE","commuter","extra","2045","0","2357","232","park-ride?","32.745074","-96.752231"
"S024","University Park","metro","fw","2040","0","2506","263","park-ride?","32.729245","-97.361298"
"X022","Forest Hill S","brt","extra","2045","0","2636","216","park-ride?","32.661838","-97.267255"
"X502","Frisco S","metro","extra","2055","0","2720","212","park-ride?","33.133649","-96.823891"
"X216","Frisco S2","metro","extra","2050","0","3045","143","park-ride?","33.133567","-96.82925"
"X590","Cedar Hill","commuter","extra","2050","0","3091","403","park-ride?","32.571822","-96.959549"
"X278","Lindberg SW","metro","extra","2070","0","3162","38","park-ride?","32.67166","-97.239208"
"X285","Enchanted Creek","metro","extra","2070","0","3197","270","park-ride?","32.679577","-97.083556"
"X286","Enchanted Creek NE","metro","extra","2070","0","3214","119","park-ride?","32.678326","-97.069456"
"X456","Indian Hills NW","metro","extra","2070","0","3379","356","park-ride?","32.788801","-97.054433"
"X571","South Dallas SW2","commuter","extra","2045","0","3611","540","park-ride?","32.754554","-96.777526"
"X483","Handley","brt","extra","2065","0","3693","50","park-ride?","32.732446","-97.225386"
"S036","Butler Place","metro","fw","2045","0","3837","236","park-ride?","32.750355","-97.316533"
"X245","Mesquite W2","metro","extra","2050","0","3926","554","park-ride?","32.792474","-96.668165"
"S050","Hulen Mall","metro","fw","2040","0","4001","51","park-ride?","32.6455","-97.4161"
"X231","Meaders","metro","extra","2050","0","4061","463","park-ride?","32.894904","-96.80415"
"X499","Fairview","commuter","extra","2045","0","4097","283","park-ride?","33.159586","-96.636305"
"X050","Edgecliff Village NW","commuter","extra","2065","0","4384","570","park-ride?","32.672645","-97.351996"
"X486","Renaissance Square","brt","extra","2065","0","4567","353","park-ride?","32.713308","-97.285146"
"S045","Renaissance Sq","metro","fw","2060","0","4567","447","park-ride?","32.7124","-97.2852"
