tract,lat,lon,pop,jobs
48367140708,32.728908,-97.734762,4580,1344
48439121908,32.718978,-97.055019,1321,1731
48113013104,32.883808,-96.773601,1641,216
48439113007,32.723861,-97.039132,3243,3215
48113011801,32.727591,-96.641245,5632,206
48367140410,32.94572,-97.748963,4093,326
48113015304,32.807499,-97.00009,3986,4429
48113014203,32.844879,-96.946005,3441,329
48113016711,32.660941,-96.772807,2421,45
48113013606,32.957551,-96.794142,5434,783
48439122401,32.725552,-97.105437,2387,210
48113010704,32.733629,-96.90949,5242,246
48439113714,32.951038,-97.083076,3651,2407
48439113611,32.872111,-97.17814,4600,2071
48113009402,32.871421,-96.843,2660,299
48121020310,33.146614,-97.243495,4808,626
48113014124,32.91117,-96.974607,4971,47025
48439106525,32.804389,-97.198682,2077,71
48121020132,33.186134,-96.894189,5171,421
48113012802,32.852819,-96.687635,5009,1469
48113018401,32.872847,-96.654282,5222,2149
48113017203,32.733876,-96.60903,4808,2039
48113009105,32.737982,-96.691901,4038,450
48085031807,33.013618,-96.748728,5034,17539
48113014146,32.862827,-96.993974,2257,49
48439111525,32.687818,-97.115817,6425,13886
48439113637,32.848371,-97.124514,4355,919
48113014119,32.961541,-96.985305,4655,3549
48113006100,32.699087,-96.847058,4465,510
48113014314,32.864483,-96.969907,3103,2525
48113005000,32.73801,-96.831957,3395,2008
48439111410,32.665178,-97.214043,3957,398
48139060602,32.405693,-96.854054,4603,1259
48113006501,32.730287,-96.888398,5400,1721
48113015205,32.812427,-96.969332,3983,315
48121021619,33.027181,-96.979131,3182,11907
48439113945,32.945335,-97.263882,3743,508
48439111402,32.643041,-97.171184,6045,255
48439110302,32.787816,-97.282648,5308,1151
48439111405,32.638811,-97.22784,2725,2128
48113019501,32.857205,-96.799865,7096,2509
48113007821,32.872261,-96.755135,4095,476
48113009303,32.724486,-96.711131,4054,173
48251130501,32.299188,-97.192849,3614,558
48113015403,32.755636,-97.024325,3551,757
48085030206,33.290846,-96.581058,4565,770
48121021654,33.052451,-96.906422,3855,779
48439111022,32.568458,-97.372533,6628,2692
48113016622,32.555028,-96.837205,3907,256
48439100601,32.814531,-97.475083,2703,612
48439106300,32.715914,-97.237386,3448,207
48439101403,32.739952,-97.24362,5146,393
48113002400,32.794898,-96.756618,3477,496
48439113715,32.975557,-97.043253,4967,6430
48085030544,33.177189,-96.670571,5510,1109
48439123302,32.754883,-97.33429,6345,36322
48439100506,32.802372,-97.374802,5599,194
48113013628,32.953576,-96.823058,6306,74656
48439121615,32.752054,-97.138844,3859,947
48397040201,32.956785,-96.435238,1832,150
